Customer_ID,Purchase_Date,No_of_units_sold,Car_model_year,Price,Customer_Name,Email,Gender,City,Car_Make,Country,Country_Code
HYGP9VY5A0C7YWS3Z235J574,2024-03-02,16228,2023,$207006.17,MichealGarmans,mgarmans0@hugedomains.com,Male,Grand Junction,Acura,United States,US
HYGP9VZJ2F6E229F0K78S3VY,2023-07-25,36327,2024,$66543.01,Philippine Ivantsov,pivantsov1@netvibes.com,Female,Newark,Chevrolet,United States,US
HYGP9VZMTWB36CXF4RAW9TZ7,2023-06-29,95274,2023,$66849.98,Godfrey Charon,gcharon2@cpanel.net,Male,Fussa,Land Rover,Japan,JP
HYGP9VZPHFYXSN8P9AMWSH5V,2024-03-07,0,2024,$135830.34,Fanny Hurford,fhurford3@telegraph.co.uk,Female,Fairbanks,Ford,United States,US
HYGP9VZRC6ZHCV1JSHMNZ445,2023-06-21,41012,2023,$172543.39,Zia Rainsbury,zrainsbury4@usda.gov,Female,Iiyama,Dodge,Japan,JP
HYGP9VZTZ3EEPXX4S1DTATP2,2023-09-05,82440,2024,$100559.79,Zane Candey,zcandey5@cisco.com,Male,Gose,Land Rover,Japan,JP
HYGP9VZWEAYRD9TQ9SM94C3R,2023-08-03,69763,2024,$30945.42,Alberta Logesdale,alogesdale6@issuu.com,Female,Milwaukee,Subaru,United States,US
HYGP9VZYJ6Z330V23ZK44MJ3,2023-12-19,78913,2023,$140895.09,Oswald Kornacki,okornacki7@wix.com,Male,Fort Lauderdale,Toyota,United States,US
HYGP9W001F85N658HXVARHCT,2023-09-30,20131,2024,$142349.43,Adriane Toquet,atoquet8@nifty.com,Female,Sutton,Hyundai,United Kingdom,GB
HYGP9W02923HDG50HCEES32V,2023-05-12,31653,2023,$98111.54,Giorgio Leyden,gleyden9@ustream.tv,Male,Chicago,BMW,United States,US
HYGP9W04H3ZVDTB85173P66D,2024-01-18,93141,2024,$276824.91,Ricoriki Heugh,rheugha@reference.com,Male,Seattle,Buick,United States,US
HYGP9W063GDY6NY2CCB4XNRM,2024-01-28,67017,2023,$38657.58,Aurlie Dunnet,adunnetb@irs.gov,Female,Birmingham,Chevrolet,United States,US
HYGP9W09THPGH7A8DVNB22E9,2023-06-14,13584,2023,$83930.66,Ibbie Cohn,icohnc@unesco.org,Female,Seattle,Chevrolet,United States,US
HYGP9W0A2KJ7N0H04GYNMQPP,2023-06-27,99091,2024,$295385.96,Benton Blackall,bblackalld@ihg.com,Male,Pinellas Park,Mitsubishi,United States,US
HYGP9W0CGNAEJ6E6GQ4A2098,2024-01-17,3970,2023,$219318.10,Ricky Bartolomeoni,rbartolomeonie@nifty.com,Female,Kishiwada,Chevrolet,Japan,JP
HYGP9W0EAT7SG78EXDRB7KV9,2023-11-14,40607,2023,$268815.27,Noami Meak,nmeakf@artisteer.com,Bigender,Palmdale,Nissan,United States,US
